timestamp,icao24,callsign,latitude,longitude,altitude,geoaltitude,groundspeed,track,vertical_rate,onground,typecode,registration,operator,track_unwrapped,flight_id,origin,destination,temperature,second,trk,tas,mass,fuelflow
2022-01-27 09:40:32+00:00,3985a6,AFR49EH,44.819842839645126,-0.7222202845982224,25.0,190.5,152.0,224.7335099239416,2438.1793103448276,0.0,A320-214,F-HBNG,afr,224.7335099239416,3985a6_3280,LFBD,LFPG,273.58275157419087,0.0,3.922339687736132,142.78699936699593,65450.0,2957.4558590533625
2022-01-27 09:40:36+00:00,3985a6,AFR49EH,44.819842839645126,-0.7236589704241396,25.0,213.36,152.0,225.2664900760584,2401.0088669950737,0.0,A320-214,F-HBNG,afr,225.2664900760584,3985a6_3280,LFBD,LFPG,273.5871375457229,4.0,3.9316419462383507,144.26889297388865,65443.42787586877,2967.7270173686125
2022-01-27 09:40:40+00:00,3985a6,AFR49EH,44.819842839645126,-0.7263034727515105,175.0,259.08000000000004,152.0,225.2664900760584,2363.8384236453203,0.0,A320-214,F-HBNG,afr,225.2664900760584,3985a6_3280,LFBD,LFPG,274.4234920706486,8.0,3.9316419462383507,145.75078658078138,65436.832926941286,3229.229911132435
2022-01-27 09:40:44+00:00,3985a6,AFR49EH,44.81877136230469,-0.7292829241071672,350.0,304.8,153.0,225.5305013166738,2326.6679802955664,0.0,A320-214,F-HBNG,afr,225.5305013166738,3985a6_3280,LFBD,LFPG,275.3971574469443,12.0,3.9362498116493643,147.2326801876741,65429.6568604721,3182.0200200368176
2022-01-27 09:40:48+00:00,3985a6,AFR49EH,44.81684875488281,-0.7320295061384172,475.0,342.90000000000003,154.0,225.2569300245035,2289.497536945813,0.0,A320-214,F-HBNG,afr,225.2569300245035,3985a6_3280,LFBD,LFPG,276.0932684732098,16.0,3.9314750918620573,148.71457379456683,65422.58570487202,3152.676704047565
2022-01-27 09:40:52+00:00,3985a6,AFR49EH,44.814768645722985,-0.7350121474847242,575.0,373.38,161.0,225.25240268228916,2252.327093596059,0.0,A320-214,F-HBNG,afr,225.25240268228916,3985a6_3280,LFBD,LFPG,276.650380073011,20.0,3.9313960748340526,150.19646740145956,65415.57975664081,3131.9690053989516
2022-01-27 09:40:56+00:00,3985a6,AFR49EH,44.81263732910156,-0.7380458286830276,675.0,403.86,166.0,225.24381035610406,2215.156650246305,0.0,A320-214,F-HBNG,afr,225.24381035610406,3985a6_3280,LFBD,LFPG,277.20422564303993,24.0,3.9312461104517173,151.67836100835228,65408.6198255177,3112.260308778078
2022-01-27 09:41:00+00:00,3985a6,AFR49EH,44.81043928760593,-0.7411082197979795,850.0,441.96000000000004,168.0,225.0,2177.9862068965517,0.0,A320-214,F-HBNG,afr,225.0,3985a6_3280,LFBD,LFPG,278.15700105373674,28.0,3.9269908169872414,153.160254615245,65401.703691498195,3074.0212415270316
2022-01-27 09:41:04+00:00,3985a6,AFR49EH,44.80829788466631,-0.7441897508574584,925.0,480.06,170.0,225.0,2140.815763546798,0.0,A320-214,F-HBNG,afr,225.0,3985a6_3280,LFBD,LFPG,278.5684912577684,32.0,3.9269908169872414,154.64214822213773,65394.87253318369,3062.8976221676057
2022-01-27 09:41:08+00:00,3985a6,AFR49EH,44.80586242675781,-0.747528076171875,1100.0,525.78,171.0,225.0,2103.6453201970444,0.0,A320-214,F-HBNG,afr,225.0,3985a6_3280,LFBD,LFPG,279.5092808653436,36.0,3.9269908169872414,156.12404182903046,65388.06609402332,3027.979177883604
